,df,Plant type,Treatment,Dose ,sample,group,apH_First 7th,bHeight_First,cStem_First,dFresh biomass_Firstclip,dDry biomass_firstclip,dFresh biomass_Secondclip,dDry biomass_Secondclip,epH_Second,fEC_Second,gHeight_Second,hStem_Second,iCholorophyll_Second,jAmmonia_Second Lechates_Before first fertilization ,kNitrate_Second Lechates_Before first fertilization ,lPhosphate_Second Lechates_Before first fertilization ,pH Harvest day,EC harvest day,Root Length (cm),Nodules Count,Shoot Biomass_harvestday Fresh ,Shoot Biomass_harvestday dry ,Root Biomass_harvestday,Root Biomass_harvestday dry ,Harvest day_Ammonium lechates (mg N/L) 
1,A,L,1,UF_100 ,aAUF100_1,aAUF100,5.4,8.9,8,13.73,4.38,14.73,4.37,4.62,0.56,40.5,18,56.3,43.572,92.2076,0.071,5.18,0.55,30,0,40.87,29.2,9.36,7.04,4.447
2,A,L,1,UF_100 ,aAUF100_2,aAUF100,5.42,22,6,14,4.41,14.67,4.35,4.9,0.62,48.6,20,54,83.162,91.7902,0.084,4.47,0.66,31,0,44.3,29.62,11.73,6.81,4.5318
3,A,L,1,UF_100 ,aAUF100_3,aAUF100,5.46,21.6,7,15,4.43,15.14,4.22,4.85,0.78,41.6,17,52.4,34.821,49.6116,0.126,4.81,0.79,32,0,40.94,28,10.36,5.29,2.3844
4,A,L,1,UF_100 ,aAUF100_4,aAUF100,5.38,17,8,17.5,4.4,17.43,4.21,4.94,0.8,45.9,18,50,83.285,34.8131,0.09,5.12,0.82,27,0,43.44,28.8,10.84,6.08,16.7451
5,A,L,2,UF_100 ,aAUF100_5,aAUF100,5.42,15.8,7,15.1,4.23,15.1,4.19,4.88,0.93,50.6,17,53.2,39.012,54.3029,0.658,4.43,0.95,0,0,41.95,28.69,14.02,6.4,5.3717
6,A,L,2,UF_200,bAUF200_1,bAUF200,4.64,24.6,4,10,4.3,6.9,4.2,4.98,0.79,40.2,1,53.7,83.979,57.2914,1.684,5.07,0.8,0,0,5.229,4.81,0,0,213.4706
7,A,L,2,UF_200,bAUF200_2,bAUF200,4.8,19.4,6,11,4.3,5.86,4.21,4.81,0.65,21.5,4,47.3,33.541,59.1224,0.27,4.72,0.66,0,0,5.14,4.76,0,0,201.4718
8,A,L,2,UF_200,bAUF200_3,bAUF200,4.78,17,6,12,4.29,10.77,4.23,4.87,0.58,29,11,46.8,83.535,62.1296,0.203,4.68,0.69,0,0,6.03,5.35,0,0,143.749
9,A,L,2,UF_200,bAUF200_4,bAUF200,5.2,12.3,7,8,4.47,0,4.29,4.64,0.6,0,0,0,36.566,91.4085,3.166,4.35,0.62,27,0,4.75,4.41,0,0,19.5068
10,A,L,2,UF_200,bAUF200_5,bAUF200,5.3,16.4,6,17.24,4.47,18.14,4.14,4.74,0.72,47.2,12,50.9,83.162,91.456,0.407,4.93,0.75,28,0,6.03,5.28,0,0,0.267
11,A,L,3,MF_100,cACF100_1,cACF100,5.34,18,8,11,4.41,10.82,4.32,5.92,0.6,45.4,20,49.6,4.867,53.4313,0.037,5.12,0.63,26,16,37.46,27.92,10.25,8.32,0.081
12,A,L,3,MF_100,cACF100_2,cACF100,5.45,12,5,11,4.31,11.56,4.41,5.41,0.62,47.4,16,45.7,0.22,33.6288,0.081,5.47,0.62,28,20,37.49,27.78,16.74,8.29,0.195
13,A,L,3,MF_100,cACF100_3,cACF100,5.49,27,5,13,4.42,13.39,4.37,5.36,0.6,49.5,11,48.9,10.099,26.1059,0.092,5.36,0.6,24,22,36.9,28.48,18,8.39,0.0132
14,A,L,3,MF_100,cACF100_4,cACF100,5.22,13.5,4,11,4.28,10.36,4.22,5.06,0.54,52,12,41,8.851,26.9327,0.606,5.14,0.54,26,18,38.99,26.74,15.91,7.39,0.0776
15,A,L,3,MF_100,cACF100_5,cACF100,5.46,15.3,5,12,4.28,12.81,4.26,5.69,0.59,44.5,16,43.2,36.108,12.9954,1.076,5.34,0.59,26,20,38.42,28.31,15.32,7.47,0.1594
16,A,L,4,MF_200,dACF200_1,dACF200,5.45,22,6,12,4.41,11.87,4.18,4.79,0.49,44.9,16,45.3,85.508,3.3709,0.12,4.93,0.58,25,8,39.83,28.74,16.95,8.17,0.3178
17,A,L,4,MF_200,dACF200_2,dACF200,5.42,18.6,7,16,4.37,15.72,4.39,4.88,0.57,54.5,12,44.1,43.745,12.1882,0.216,4.64,0.57,23,7,36.78,25.63,17.58,8.83,0.6909
18,A,L,4,MF_200,dACF200_3,dACF200,5.36,19.2,7,10,4.38,9.37,4.24,4.77,0.66,39,14,48,91.427,20.7761,0.547,4.45,0.66,22,7,41.25,29.01,17.42,8.78,0.0905
19,A,L,4,MF_200,dACF200_4,dACF200,5.47,18.7,5,14,4.37,13.43,4.49,5.42,0.6,49.5,12,47.7,60.186,17.859,0.184,4.31,0.6,22,6,40.58,29.25,16.06,7.97,7.2084
20,A,L,4,MF_200,dACF200_5,dACF200,5.46,16.2,6,10.28,4.41,9.28,4.22,5.22,0.8,48.9,14,42.1,92.741,7.2393,1.196,4.54,0.8,23,5,40.08,28.76,17.45,8.6,0.2091
21,A,L,5,C,eACK_1,eACK,5.46,33.4,5,11,4.33,10.11,4.2,6.37,0.72,53.4,11,50.9,-0.169,2.1137,0.355,5.7,0.72,21,19,39.11,27.25,9.55,5.8,0.0851
22,A,L,5,C,eACK_2,eACK,5.55,22.5,7,14.2,4.46,13.16,4.34,6.27,0.54,44.9,13,46.8,0.022,4.5706,0.263,5.77,0.54,20,12,37.84,28.11,14.89,7.86,0.0611
23,A,L,5,C,eACK_3,eACK,5.48,19.5,5,12.38,4.33,11.38,4.26,5.87,0.57,31.5,14,49.1,-0.048,4.8356,0.56,5.33,0.57,21,11,36.27,28.35,12.48,7.03,0.019
24,A,L,5,C,eACK_4,eACK,5.47,27,5,11.66,4.52,9.66,4.27,5.66,0.53,45.5,14,47.6,-0.385,1.457,0.322,5.5,0.53,22,14,39.13,28.48,13.69,7.2,0.0824
25,A,L,5,C,eACK_5,eACK,5.46,8.7,5,12.2,4.3,10.2,4.54,5.81,0.52,29.2,15,44.3,0.595,1.9143,0.641,5.88,0.52,30,15,14.74,8.08,12.54,6.81,3.414
1,B,P,1,UF_100 ,fBUF100_1,fBUF100,5.59,15.5,9,293,4.64,28.44,4.2,5.57,0.71,58,33,40,46.995,17.5552,0.162,5.25,0.71,31,0,54.57,34.56,25.1,8.12,-0.008
2,B,P,1,UF_100 ,fBUF100_2,fBUF100,5.54,15.8,8,35.02,4.63,34.05,4.57,5.66,0.57,67.5,29,44.9,85.166,74.5813,0.018,5.49,0.57,32,0,44.19,31.72,29.25,8.85,5.1141
3,B,P,1,UF_100 ,fBUF100_3,fBUF100,5.56,11.3,8,34.23,4.35,33.27,4.42,5.82,0.58,61.4,34,41.2,40.029,89.2935,0.007,5.27,0.58,27,0,45.76,32.83,20.77,8.39,4.8463
4,B,P,1,UF_100 ,fBUF100_4,fBUF100,5.45,16.5,9,29.25,4.7,29.23,4.6,5.52,0.65,56,35,37.3,66.572,82.8929,0.015,5.24,0.65,28,0,45.26,31.94,27.94,8.15,6.681
5,B,P,1,UF_100 ,fBUF100_5,fBUF100,5.55,15.7,11,27.85,4.74,26.47,4.5,5.64,0.58,47,44,38.5,35.194,84.6768,0.047,5.05,0.58,25,0,41.15,32.61,18.19,6.53,92.9537
6,B,P,2,UF_200,gBUF200_1,gBUF200,5.1,12,9,39.54,4.57,38.58,4.49,5.17,0.52,60,37,45.6,83.472,87.1648,0.026,4.34,0.52,26,0,7.17,6.56,10.92,4.97,171.0154
7,B,P,2,UF_200,gBUF200_2,gBUF200,4.54,9.6,6,40.23,4.48,39.23,4.43,4.94,0.58,59.7,38,40.5,29.547,87.1075,0.026,4.28,0.58,26,0,8.28,7.29,14.16,5.66,89.6089
8,B,P,2,UF_200,gBUF200_3,gBUF200,4.9,14,10,35.25,4.79,33.17,4.51,5.21,0.57,75.3,36,41.9,82.916,91.1402,0.678,4.49,0.57,27,0,29.24,12.42,14.75,5.51,166.0776
9,B,P,2,UF_200,gBUF200_4,gBUF200,5.61,13.3,6,36,4.73,33.14,4.4,5.61,0.63,60,26,46.9,33.207,91.583,0.262,4.35,0.51,28,0,7.77,6.63,11.52,4.99,159.6512
